epoch,loss,l_data,l_physics,l_boundary,l_cons,l_test
0,1.849077820777893,0.151548370718956,3.3440585136413574,0.08336099237203598,0.002458995208144188,
50,0.29043686389923096,0.14209525287151337,0.22373166680335999,0.11981367319822311,0.0026584267616271973,
100,0.2137586623430252,0.12967291474342346,0.10968178510665894,0.0961366817355156,0.0020192263182252645,
150,0.18393346667289734,0.12690208852291107,0.04205925017595291,0.11737102270126343,0.0039522103033959866,
200,0.144765242934227,0.10692310333251953,0.02364773117005825,0.08381451666355133,0.004369643051177263,
250,0.13850180804729462,0.09985415637493134,0.030020147562026978,0.07604105025529861,0.004126305691897869,
300,0.1104201003909111,0.08329002559185028,0.030764076858758926,0.03589503839612007,0.004897626116871834,
350,0.12120454013347626,0.09044142812490463,0.02039995975792408,0.06582299619913101,0.0040811812505126,
400,0.13215182721614838,0.079184390604496,0.024508174508810043,0.133607417345047,0.003155606333166361,
450,0.07642725110054016,0.04341884329915047,0.018220949918031693,0.07665091753005981,0.004513260442763567,
500,0.05547615885734558,0.04328759387135506,0.014737475663423538,0.008664260618388653,0.011102735996246338,
550,0.044723063707351685,0.03592817112803459,0.006017421837896109,0.011239542625844479,0.012071570381522179,
600,0.031411685049533844,0.02307385951280594,0.008655654266476631,0.005802948493510485,0.011345582082867622,
650,0.026158584281802177,0.014755293726921082,0.002458285540342331,0.0275453832000494,0.009552662260830402,
700,0.014817627146840096,0.009792031720280647,0.0012829650659114122,0.007924449630081654,0.01003388874232769,
750,0.016080159693956375,0.008827419951558113,0.0007307566120289266,0.015717480331659317,0.01086058747023344,
800,0.016184568405151367,0.007130034267902374,0.0003099078603554517,0.02100050449371338,0.012997142039239407,
850,0.013523918576538563,0.0047688973136246204,0.01044553890824318,0.0005238536396063864,0.016875481233000755,
900,0.008001849055290222,0.0045651523396372795,0.00016564977704547346,9.429144120076671e-05,0.016627918928861618,
950,0.08669235557317734,0.07668139040470123,0.007140185683965683,0.008778911083936691,0.019035980105400085,
1000,0.008763144724071026,0.004320737440139055,5.8517860452411696e-05,0.0022584712132811546,0.018678033724427223,
1050,0.006630280986428261,0.002660858677700162,6.050290903658606e-05,0.0004084848624188453,0.01908312737941742,
1100,0.006768582388758659,0.0033997008576989174,0.00012600739137269557,0.00013602078252006322,0.01632535643875599,
1150,0.007283694110810757,0.002014103112742305,0.003200703766196966,0.0001579783856868744,0.01810922659933567,
1200,0.0055806743912398815,0.0018235043389722705,9.632663932279684e-06,0.00011174862447660416,0.01859414577484131,
1250,0.005536873359233141,0.001736797858029604,5.358770977181848e-06,0.0006808877806179225,0.0179656483232975,
1300,0.00979605782777071,0.0016623910050839186,0.008424526080489159,0.00013446147204376757,0.019405324012041092,
1350,0.006216602865606546,0.0025141057558357716,2.326948333575274e-06,0.00030982610769569874,0.018041929230093956,
1400,0.005372948944568634,0.0017402505036443472,4.6536051740986295e-06,0.0004646834859158844,0.017454832792282104,
1450,0.0052998545579612255,0.0015402452554553747,3.2922334867180325e-06,0.00018553546397015452,0.018511513248085976,
1500,0.0061800358816981316,0.002157798735424876,7.418635505018756e-06,0.0003919840673916042,0.019504662603139877,
1550,0.005142077337950468,0.0013692188076674938,9.683446478447877e-06,0.00030641903867945075,0.018380455672740936,
1600,0.005201107356697321,0.0013760142028331757,1.4101058695814572e-05,0.0001465099339839071,0.01887044683098793,
1650,0.007862740196287632,0.0013634749921038747,0.005303683690726757,0.0006049122894182801,0.018329748883843422,
1700,0.005345875397324562,0.0015338221564888954,8.614957550889812e-06,0.00013251247582957149,0.018839960917830467,
1750,0.005152233876287937,0.0013522191438823938,5.362848241929896e-06,0.00013740868598688394,0.018780553713440895,
1800,0.00527402525767684,0.0014393413439393044,1.1733607152564218e-06,0.00017016763740684837,0.01891523413360119,
1850,0.00503289932385087,0.0011843977263197303,2.7970770588581217e-06,0.0001389784156344831,0.019027046859264374,
1900,0.005086896941065788,0.0013103866949677467,6.963014129723888e-07,0.0002950637135654688,0.018438216298818588,
1950,0.005031663924455643,0.0012846066383644938,1.4917461612640182e-06,0.0003296836803201586,0.018237030133605003,
2000,0.0049857404083013535,0.0011627604253590107,2.8857257348136045e-06,0.0001600909308763221,0.018867548555135727,
2050,0.005132597871124744,0.0013617478543892503,1.7458289676142158e-06,0.00019078757031820714,0.018563704565167427,
2100,0.0051050991751253605,0.0013370080851018429,1.9124756363453344e-05,0.00021629071852657944,0.018468206748366356,
2150,0.005194616504013538,0.001413667923770845,6.707557986374013e-06,0.0006741460529156029,0.017876755446195602,
2200,0.005440020002424717,0.001606647507287562,4.639801318262471e-06,0.00019769712525885552,0.018858717754483223,
2250,0.005070722661912441,0.0012865362223237753,8.977168590718065e-07,0.00016450103430543095,0.01867193728685379,
2300,0.00492252130061388,0.0011254427954554558,4.60400451629539e-06,0.00033236632589250803,0.018475333228707314,
2350,0.004963683895766735,0.0011681007454171777,3.313472006993834e-06,0.000484310497995466,0.01824316568672657,
2400,0.01110522635281086,0.007177906576544046,9.484063775744289e-05,0.00612253462895751,0.010215694084763527,
2450,0.005557805299758911,0.0016997260972857475,1.3543222848966252e-05,0.0003055901324842125,0.01879815198481083,
2500,0.006001641508191824,0.0014535753289237618,0.0016447545494884253,0.00022274184448178858,0.018294330686330795,
2550,0.005012022331357002,0.0012455922551453114,9.771465556696057e-06,0.00023267357028089464,0.018458710983395576,
2600,0.004994458053261042,0.0012596009764820337,1.5052625712996814e-05,0.0001862092176452279,0.01835734024643898,
2650,0.004962851293385029,0.0011590623762458563,7.786424248479307e-06,0.0002129385684384033,0.018680071458220482,
2700,0.006691316142678261,0.0011502482229843736,0.003460124135017395,0.00020379942725412548,0.018749328330159187,
2750,0.0049661630764603615,0.0012072965037077665,1.2907681593787856e-05,0.00020699559536296874,0.018451569601893425,
2800,0.004930318798869848,0.0011392418527975678,7.170849130488932e-06,0.0002803222741931677,0.01851697452366352,
2850,0.004934282973408699,0.0011470597237348557,4.94325013278285e-06,0.00016455633158329874,0.01867692358791828,
2900,0.0050083184614777565,0.0012678800849243999,9.20035472518066e-06,0.0003357797395437956,0.0181755218654871,
2950,0.0049178386107087135,0.0011415400076657534,7.219163308036514e-06,0.00029725319473072886,0.018417565152049065,
3000,0.004922682419419289,0.0010805560741573572,2.239293735328829e-06,0.00019387071370147169,0.018914226442575455,
3050,0.0048937201499938965,0.0011125184828415513,8.102218998828903e-06,0.00021851016208529472,0.018557988107204437,
3100,0.0056686075404286385,0.0016525554237887263,1.556115307721484e-06,0.0020182719454169273,0.01704896055161953,
3150,0.004933609161525965,0.001147639355622232,2.1208061298239045e-06,0.0001933660387294367,0.018634498119354248,
3200,0.004939225502312183,0.0011318972101435065,2.9668551633221796e-06,0.00022872923000250012,0.01868613064289093,
